IdSymbol	P-092	P-191	P-251	P-014	P-153	P-152	P-236	P-149	P-276	P-333	P-144	P-005	P-244	P-332	P-141	P-080	P-271	P-091	P-180	P-178	P-124	P-004	P-078	P-063	P-228	P-319	P-166	P-285	P-193	P-101	P-391	P-213	P-355	P-351	P-363	P-290	P-289	P-293	P-301	P-215	P-208	P-372	P-096	P-200	P-142	P-308	P-192	P-374	P-352	P-265
OTU_1751530	50.29800403	43.72112006	48.39292069	42.11607673	52.4378622	50.71495447	54.04263591	45.32181302	74.56571119	45.6404761	42.70197082	48.39080635	52.53716258	61.44317975	37.30702761	41.06563686	43.06174019	40.00097226	46.11112629	42.04038572	45.34460535	35.00047692	63.8626566	41.82286887	41.71253403	38.40920403	64.74985245	58.91953704	44.49559566	55.87725887	48.25283849	38.39853654	51.25553535	56.62327937	40.14282843	45.66236434	57.98789283	57.31604962	95.98775472	52.4277473	47.33000277	54.3399283	69.25238434	41.99656503	49.16298642	47.40947113	42.47851094	56.15223377	41.57693239	55.52505717
OTU_1700703	33.8947578	32.96149579	33.50541824	32.72498654	37.16611855	31.99823811	32.69724233	32.86471145	35.16331365	34.89778484	32.7102866	33.67704478	31.28787635	31.63118365	33.70738113	33.47433013	33.75275642	34.35417088	32.7102866	30.82534119	34.22723836	35.93318151	34.40243855	34.53335321	34.75568528	31.72670057	35.15919591	35.01351667	32.62119761	33.97317101	33.26135679	35.19975264	32.42738365	34.80362132	37.42881553	34.50320937	36.94576887	32.55001195	35.52218044	36.41837591	36.17958094	33.82692434	35.74359252	31.93194453	37.08686535	33.16340252	33.51908245	33.10846962	35.02913226	33.1030039
OTU_1777424	40.86978119	35.75962642	32.29676849	35.44494025	43.41280006	38.26568396	33.00183403	34.93097327	39.73183899	42.75832208	38.67805597	34.92326585	34.11037145	44.61411314	37.38266308	36.96798579	39.25027881	35.12718484	34.99510704	33.71344931	37.93057289	39.88934145	35.73171503	39.7089156	42.01510975	50.67671465	36.36184868	39.36340566	38.00722604	43.10561786	41.00502881	37.59266453	44.51519289	47.20468333	44.08156767	38.09664572	40.3612017	37.3724139	37.93156849	40.18876516	41.62865088	45.81923182	42.47051182	36.77478157	38.80219484	41.88946616	31.77846698	47.20980371	41.9249356	40.74920497
OTU_2396551	41.31844937	36.52407321	38.61707792	36.93898082	40.56821239	35.87168283	38.6101205	39.69314113	35.63438553	41.19471987	38.80298365	34.52142943	33.13784365	39.40112547	37.62877201	35.16876176	33.66264899	34.10681629	38.83511157	37.25255931	38.41068101	30.49846113	38.20394138	44.65816862	41.64783836	40.46844421	34.8899461	31.6930834	35.05786321	34.99168358	36.43422252	38.83352629	40.3159027	40.75356491	36.90344887	37.13964044	32.89769289	32.2845078	36.73271371	38.9311578	34.24525176	38.27392119	36.29272925	34.27470591	36.81300679	38.04986642	34.62498308	39.79524321	37.35667314	37.6138834
OTU_1757915	37.49957648	39.49201164	39.41796013	35.30737547	36.38464119	35.62438723	38.7407117	38.44227082	186.6482597	36.73741119	36.64960855	36.41872648	39.56391044	35.11571314	38.8461078	38.68203755	40.56158686	33.92177604	36.81132918	38.08118497	38.74943516	37.87356925	38.98135987	43.39124025	39.68190585	40.30889755	35.66487648	39.59649208	38.19324113	32.68564704	35.31067579	39.17312698	37.54552541	36.87327145	37.1325395	41.69061836	106.6648083	35.18552214	39.97510818	38.49472157	41.11943855	36.73464686	36.91641843	36.30005094	34.28500189	37.12764868	37.33013906	35.5422583	37.63056912	36.39860673
OTU_2288639	31.32990786	37.76058239	34.98793843	42.30345767	37.33937069	34.62067925	36.60542792	33.2383495	39.99962686	34.03829031	36.83259975	38.24338333	36.99818113	36.01357635	36.03620786	35.7502422	38.45440472	39.95465843	36.13479214	40.91147667	34.57160906	43.15335836	39.47040208	37.72236195	37.2655344	37.03295711	38.61509698	37.15129774	37.69231384	38.01734447	36.33012572	38.06745585	39.78889931	36.00537459	30.85742176	34.4562434	38.87127031	36.46139069	39.91490308	35.78274113	38.37562893	35.07478258	35.85466887	42.02135415	37.5849478	35.76680434	36.47053981	34.8163534	37.21147321	34.49579686
OTU_1664660	138.3858576	140.2402667	169.7573009	174.0053769	122.9395656	134.2243399	139.0056028	130.6424003	177.24868	134.9868528	136.3843053	143.0584981	152.9495717	137.2459541	222.632333	165.6637063	136.319117	136.5288069	139.0780018	139.912167	190.184579	132.3316425	135.8807868	139.8175651	134.198269	37.68057503	37.4274727	42.66851377	40.17590805	37.66534566	35.39685484	41.1911534	34.06345384	43.75036667	26.664772	40.61912855	42.48862	36.20364767	39.92051403	39.44367038	34.74361107	36.21711484	36.55103296	40.78215258	39.22283497	33.53750006	39.87885654	35.94180704	27.976513	37.0926234
OTU_2233576	36.06415132	35.93352484	93.04586937	82.48658604	90.53657994	36.75530981	34.67542648	135.4402416	19565.48931	39.35086088	34.80624214	37.56735497	402.2034925	35.8614717	2538.033528	72.47983308	34.44954075	35.47643736	38.1508656	37.18989107	4373.706868	33.11479088	33.31157981	37.19997629	1276.227283	36.23349176	38.54771252	40.81928799	35.25513893	35.60809302	36.27597396	41.39075579	33.08065019	48.35804384	1456.695283	38.32353635	16312.72421	32.33886013	32.39053887	38.64909868	34.22762604	35.84456547	35.16476987	34.52675805	38.87218428	36.90691403	40.57973925	38.66984623	1182.430082	38.53252541
OTU_1691563	38.59448201	38.66948434	47.79780459	43.61995943	73.72560579	37.0657995	36.06751258	80.35760824	4827.807069	37.88393132	39.5867617	36.29831258	173.7247453	38.14565346	93.55329484	37.19525094	39.10668906	36.31978786	36.63674667	33.96544516	872.4391774	41.12170723	38.3920461	39.21367987	114.2835899	38.34541692	38.91193164	36.35267025	39.70434472	35.25438358	35.81136862	38.75016962	40.06051629	40.55663585	176.8163453	39.03561881	5102.646503	35.72044107	38.57260038	39.07800182	37.78986075	39.21952138	36.50205893	39.93611874	40.21350931	38.05534509	37.30125013	41.13189774	105.3097363	39.43156189
OTU_2203976	32.7620317	37.15692843	44.07285698	37.77437101	39.68785522	39.11798176	33.77941862	42.76302025	256.2429899	35.22153585	40.33830025	36.32842987	37.11925811	36.36149503	42.37333912	36.85018132	39.24025403	37.00398459	38.91193164	35.76838484	60.15368057	39.12285673	36.55103296	39.23044943	51.1379622	41.39018981	38.17974038	38.70760937	37.46293006	38.75817704	35.92811069	40.35476453	34.76292484	36.93269289	41.81117396	37.73711403	249.4785145	40.99385585	39.33295189	39.36215717	35.41769742	36.4429444	36.59304686	38.42359522	36.71157434	40.92231755	39.00478579	34.39918874	34.76062277	36.85473352
